"","gender","anger","S1DoCurse","S1DoScold","S1DoShout","S1WantCurse","S1WantScold","S1WantShout","S2DoCurse","S2DoScold","S2DoShout","S2WantCurse","S2WantScold","S2WantShout","S3DoCurse","S3DoScold","S3DoShout","S3WantCurse","S3WantScold","S3WantShout","S4DoCurse","S4DoScold","S4DoShout","S4WantCurse","S4WantScold","S4WantShout"
"244","Male",33,2,2,2,0,0,0,2,1,0,1,0,0,1,1,0,0,2,0,2,0,2,0,0,0
"245","Female",19,1,2,1,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"246","Female",25,1,1,2,2,2,2,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"247","Female",17,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,0,1,1,0
"248","Female",12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"249","Female",14,2,1,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2
"250","Male",25,0,0,0,0,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0
"251","Female",21,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"252","Male",22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"253","Female",20,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,1,0,2
"254","Female",25,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,1,0,1,0,0,2
"255","Female",12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"256","Female",16,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
"257","Female",23,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"258","Female",19,1,1,1,2,1,2,1,2,0,1,1,2,0,0,0,2,1,0,1,1,0,2,1,2
"259","Female",22,2,2,1,2,2,2,2,0,0,2,2,2,1,2,0,2,0,0,2,2,2,1,1,2
"260","Female",15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"261","Female",25,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1
"262","Female",17,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"263","Female",35,2,2,1,2,0,2,2,2,0,2,2,2,1,0,0,0,0,0,2,0,0,0,0,0
"264","Female",24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
"265","Female",24,2,2,0,0,0,2,0,1,1,1,0,1,0,1,0,1,0,0,1,2,2,1,1,2
"266","Female",13,1,2,2,1,1,2,2,0,0,2,0,2,1,1,1,1,1,1,1,1,0,1,1,0
"267","Female",26,2,0,0,1,1,1,2,1,0,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0
"268","Female",25,2,0,2,0,0,0,2,0,0,0,0,2,2,1,0,0,0,1,2,0,0,0,0,0
"269","Female",20,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,0,2
"270","Female",27,2,2,2,2,0,2,2,2,2,2,0,2,1,0,0,0,0,0,0,1,0,1,1,0
"271","Female",19,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1
"272","Male",15,1,0,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"273","Female",21,2,0,0,2,2,0,2,0,0,2,0,0,2,0,0,1,1,1,2,2,0,0,0,0
"274","Female",18,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1
"275","Female",26,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,0,0,0,2,0,1
"276","Female",26,2,2,2,2,2,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1
"277","Female",23,0,0,1,1,1,2,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1
"278","Female",20,0,2,0,1,0,1,0,1,1,2,1,1,0,0,1,0,0,1,1,1,1,1,1,1
"279","Female",18,2,0,0,2,0,2,2,0,0,2,0,2,1,0,0,2,0,0,0,0,0,1,0,1
"280","Female",30,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0
"281","Female",24,2,0,2,2,0,2,2,0,0,0,0,2,1,0,0,2,0,1,1,0,0,0,0,1
"282","Female",22,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,2,2,2
"283","Female",19,0,2,0,1,0,0,2,2,0,1,1,0,0,0,0,1,0,0,1,2,0,1,0,1
"284","Female",39,2,2,2,2,2,2,1,1,2,1,1,2,0,0,0,1,0,1,0,0,0,0,0,0
"285","Female",13,0,0,0,1,0,2,0,0,0,1,0,2,0,1,0,1,1,1,1,0,0,0,0,1
"286","Female",17,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"287","Female",29,0,1,1,2,0,0,1,2,1,2,0,2,0,0,0,0,0,0,0,2,2,2,2,2
"288","Female",12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"289","Female",19,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"290","Female",23,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"291","Female",11,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"292","Female",18,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"293","Female",22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"294","Male",22,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,2,0,0,0,0,0,2,0,1
"295","Female",21,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
"296","Male",19,2,2,0,2,0,0,2,0,0,2,0,0,1,1,0,0,0,0,1,1,0,1,0,0
"297","Male",19,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"298","Female",21,1,1,1,2,2,1,1,1,0,2,2,0,1,1,0,1,1,0,1,1,0,2,1,0
"299","Female",25,1,0,0,1,0,0,1,1,0,2,0,0,1,1,0,0,2,0,0,1,0,2,0,0
"300","Female",19,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
"301","Female",26,1,1,1,1,2,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1
"302","Female",18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"303","Female",20,1,1,1,2,2,1,0,0,0,2,1,1,1,1,0,2,1,1,1,1,0,1,1,0
"304","Female",17,1,1,0,2,1,1,1,0,0,2,1,0,0,0,0,1,0,0,1,2,1,2,2,1
"305","Male",17,1,0,0,1,0,0,2,0,0,2,0,0,1,0,0,1,0,0,2,1,0,2,0,0
"306","Female",24,2,0,0,0,0,0,2,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0
"307","Female",16,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"308","Female",22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"309","Female",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"310","Male",19,2,2,0,2,2,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,2,1,0
"311","Male",20,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"312","Female",22,2,1,1,1,1,2,2,1,1,2,1,2,1,0,0,0,0,0,1,1,0,1,1,0
"313","Female",18,2,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,2,1,0
"314","Female",26,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"315","Female",23,1,1,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,2,2,1
"316","Female",15,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
